PLACE_NAME,PROJECT_NAME,Location_Type,Housing_Type,RB Division,Status,Owned,Managed,Developed,YARDI Property Code_2 ,YARDI Job Code_2,ADDRESS,Borough,Boro_code_2,BLOCK,BLOCK_mapping,LOT,BBL,BBL_mapping,BIN,TOTALUNITS,Total Unit PROJECT_2,OWNER_ENTITY,Ownership %_2,Housing_Services, Tax Credit_2 , Tax Credit Y/N , Section 8 Type , Section 8 Y/N , 610 Y/N , Our Role_2 ,Housing Type_2,Agency_2,Program Contact_2,Development Type aka Category_2,Systems Replaced_2,Construction Start Date_text,Construction Start Date_2,Construction Completion Date_text,Construction Completion Date_2,Permanent Loan Conversion Date_text,Permanent Loan Conversion Date_2,Dates of Management From_text,Dates of Management From _2,Dates of Management To_text,Dates of Management To _2,AMI/Populations served _2,Occupied or Vacant during construction _2, Total Construction Cost_Text , Total Construction Cost_PROJECT_2 , Total Development Cost_text , Total Development Cost_PROJECT_2 ,Acquisition date_text,Acquisition date _2,Construction Lender_2,Public or Private Perm Lender_2,Maturity Date,Partners_2,HUD FHA#_2,NYS Tax Credit BIN #_2,LIHTC Syndicator_2,BIN_properties,HPD/HDC Loan #,SHARS_properties,DEVEL DEAL TYPE_properties,GOVT PROGRAM_properties,Agency Contact_properties,TDC_properties,TAXCREDIT_properties,TC UNITS_properties,Lead Agency_properties,COMMENT_properties,YEARBUILT_properties,DATE ACQUIRED_properties,DATEMANAGED_properties,CONST COMPLETED DATE_properties,PERM CONVERSION DATE_properties,FAR_properties,MAXFAR_properties,BUILTFAR_properties,AVAILFAR_properties,BLDGSOWNED,BLDGSMNGED,BLDGS DEVD,BLDGSQFT_properties,ZONISQFT_properties,LOTSQFT_properties,,OTHRSQFT_properties,PARKING_properties,STORIES_properties,SUPUNITS_properties,TOTALUNITS_properties,UNITSOWNED_properties,UNITSMNGED_properties,UNITSSERVICED_properties,MNGEDONLY_properties,LIHTCUNITS_properties,PBVUNITS_properties,COMMSPACES_properties,4BR_properties,3BR_properties,2BR_properties,1BR_properties,0BR_properties,RBDEPTNUM_properties,REGISTRATION_properties,Commercial Unit,Address_commercial,Owner/Entity_commercial,Tenant's Name or Leasee_commercial,Lessee Type_commercial,% RB Ownership_commercial,Permitted Use_commercial,Actual Use_commercial,Comm SqFt Leased_commercial,Current Yardi    T-Code_commercial,Address_program,Division_program,Senior Center name_program,Senior Center director_program,Programs_program,AKA_program
Health Advocacy Partner Program (HAPP),Empowerment,RB Service Site,non-housing,Empowerment,Operational,Not owned,Not managed,,,,630 Flushing Ave,,,,,,,3017200001,3329628,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,630 Flushing Ave,Empowerment,,,"Health Advocacy Partner Program 
(HAPP)",
Esperanza TPT,Esperanza TPT,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,esper1,,161 Bleecker Street Brooklyn NY 11221,Brooklyn,3,3297,3297,40,3032970040,3032970040,3074766,6,11,Esperanza TPT HDFC,100%,, HOME ,,,,, D , RH , HPD ,, SR , All ,7/27/2006,7/27/2006,1/9/2009,1/9/2009,11/1/2010,11/1/2010,7/27/2006,7/27/2006, present ,7/16/2026,Multi-Family: Low to Moderate Income,Vacant," $ 1,309,863.00 "," $ 1,309,863.00 "," $ 1,868,664.00 "," $ 1,868,664.00 ",7/27/2006,7/27/2006,BPD Bank,CPC,,RB Only,,,N/A,3074766,,,Preservation Rehab,,,,HOME,,,,2008,1/20/2004,1/20/2004,,,,,,,1,1,1,4500,,,0,,,3,,6,6,6,,,,,0,0,0,0,6,0,267,359404,,,,,,,,,,,,,,,,
Esperanza TPT,Esperanza TPT,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,esper1,,24 St Nicholas Avenue Brooklyn NY 11237,Brooklyn,3,3189,3189,20,3031890020,3031890020,3072616,5,11,Esperanza TPT HDFC,100%,, HOME ,,,,, D , RH , HPD ,, SR , All ,7/27/2006,7/27/2006,1/9/2009,1/9/2009,11/1/2010,11/1/2010,7/27/2006,7/27/2006, present ,7/16/2026,Multi-Family: Low to Moderate Income,Vacant," $ 1,309,863.00 "," $ 1,309,863.00 "," $ 1,868,664.00 "," $ 1,868,664.00 ",7/27/2006,7/27/2006,BPD Bank,CPC,,RB Only,,,N/A,3072616,,,Preservation Rehab,,,,HOME,,,,2010,1/16/2004,1/16/2004,,,,,,,1,1,1,4875,,,0,,,3,,5,5,5,,,,,1,0,0,4,1,0,267,361147,,,,,,,,,,,,,,,,
"La Boca Wine Bar, LLC. DBA Idlewild",Esperanza TPT,Commercial,non-housing,Housing,Operational,Owned,Managed,,,,24 St Nicholas Avenue Brookly NY 11237,,,,3189,20,3031890020,3031890020,,0,,Esperanza TPT HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,1,24 St. Nicholas Avenue,Esperanza TPT HDFC,"La Boca Wine Bar, LLC. DBA Idlewild",3rd Party,100%,retail,restaurant - Wine Bar,585,t0004881,,,,,,
Billboard Wall,Esperanza TPT,Billboard Wall,non-housing,Housing,Operational,Owned,Managed,,,,24 St. Nicholas Avenue,,,,3189,20,3031890020,3031890020,,0,,Esperanza TPT HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,24 St. Nicholas Avenue,Esperanza TPT HDFC,Vacant - Adv Industry aware of space availability,3rd Party,100%,Wall,Wall - Advertising,WALL,T0003356,,,,,,
Family Enrichment Center,Family Enrichment Center,RB Service Site,non-housing,Empowerment,Operational,Not owned,Not managed,,,,"1432 Pitkin Avenue, Brooklyn NY 11207",,,,,,,3014770038,3039605,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,"1432 Pitkin Avenue, Brooklyn NY 11207",Education,,,Family Enrichment Center,
Hope Ballfield,Farmer's Market Site,Farmer's Market,non-housing,Health,Operational,Not owned,Not managed,,,,Hope Ballfield,,,,,,,3033160023,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,Hope Ballfield,Empowerment,,,Farmers Market,
Irving Square Park,Farmer's Market Site,Farmer's Market,non-housing,Health,Operational,Not owned,Not managed,,,,Irving Square Park,,,,,,,3034050001,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,Irving Square Park,Empowerment,,,Farmers Market,
Maria Hernandez Park,Farmer's Market Site,Farmer's Market,non-housing,Health,Operational,Not owned,Not managed,,,,Maria Hernandez Park,,,,,,,3032030001,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,Maria Hernandez Park,Empowerment,,,Farmers Market,
Gates Gardens ,Gates Gardens,Residential,Senior,Housing,Operational,Owned,Managed,Developed,gtsgrd2,,1349 Gates Avenue Brooklyn NY 11221,Brooklyn,3,3333,3333,33,3033330033,3033330033,3391218,62,62,Gates Gardens HDFC,100%,HUD 202,  202 ,,,,, D , RH , HUD   ,, NC , All ,,,1/1/2012,1/1/2012,,,6/1/2005,6/1/2005, present ,7/16/2026,HUD 202 Seniors,Vacant," $ 14,674,000.00 "," $ 14,674,000.00 ","  $13,500,000 ","  $13,500,000 ",,,HUD,HUD  ,,RB Only,012-EE312,,N/A,3391218,,,New Construction,HUD 202,,,HUD 202,,,,2005,4/1/2006,4/1/2006,,,,,,,1,1,1,54450,,,0,,,6,1,62,62,62,,,,,0,0,0,1,61,0,161,381809,,,,,,,,,,,"1349 Gates Avenue, Brooklyn NY 11221",Supportive Services,,,Supportive Senior Services 202 Buildings ,Gates Gardens Senior Housing
Gates Plaza ,Gates Plaza,Residential,Senior,Housing,Operational,Owned,Managed,Developed,gtsplaza,,1245 Gates Avenue Brooklyn NY 11237,Brooklyn,3,3332,3332,47,3033320047,3033320047,3393762,83,83,Gates Plaza HDFC,100%,HUD 202,  202 ,,,,, D , RH , HUD   ,, NC , All ,11/1/2006,11/1/2006,11/8/2008,11/8/2008,9/29/2010,9/29/2010,11/1/2006,11/1/2006, present ,7/16/2026,HUD 202 Seniors,Vacant," $ 10,707,252.00 "," $ 10,707,252.00 "," $ 11,227,548.00 "," $ 11,227,548.00 ",11/1/2006,11/1/2006,HUD,HUD  ,,RB Only, 012-EE329,,N/A,3393762,,,New Construction,HUD 202,,,HUD 202,,,,2009,11/8/2008,11/8/2008,,,,,,,1,1,1,64240,,,0,,,6,1,83,83,83,,,,,0,0,0,1,82,0,114,383453,,,,,,,,,,,"1245 Gates Avenue, Brooklyn NY 11221",Supportive Services,,,Supportive Senior Services 202 Buildings ,Gates Plaza Senior Housing
Goodwin-Himrod (aka Carmen Vasquez Senior Housing),Goodwin Himrod,Residential,Senior,Housing,Operational,Owned,Managed,Developed,goodhim,,143 Himrod Street Brooklyn NY 11221,Brooklyn,3,3266,3266,45,3032660045,3032660045,3393892,60,160,"Goodwin Himrod Senior HDFC, Inc.",100%,HUD 202,  202 ,,,,, D , RH , HUD   ,, NC , All ,8/1/1990,8/1/1990,8/1/1992,8/1/1992,8/1/1992,8/1/1992,8/1/1990,8/1/1990, present ,7/16/2026,HUD 202 Seniors,Occupied*," $ 8,068,400.00 "," $ 8,068,400.00 "," $ 8,770,000.00 "," $ 8,770,000.00 ",8/1/1990,8/1/1990,HUD,HUD/HFA/Richman,,RB Only,012-EH-599,,Richman,3393892,,1925,New Construction,"HCR, HUD 202",,,HUD 202 + 4% Bonds,,,,1992,8/1/1992,8/1/1992,,,,,,,1,1,1,45497,,,0,7611,,5,1,60,60,60,,,,,0,0,0,1,44,15,34,377190,,,,,,,,,,,"143 Himrod Street, Brooklyn NY 11221",Supportive Services,,,Supportive Senior Services 202 Buildings ,Carmen Vasquez Senior Housing
Goodwin-Himrod (aka Goodwin Place for the Elderly),Goodwin Himrod,Residential,Senior,Housing,Operational,Owned,Managed,Developed,goodhim,,55 Goodwin Place Brooklyn NY 11221,Brooklyn,3,3294,3294,42,3032940042,3032940042,3319576,100,160,"Goodwin Himrod Senior HDFC, Inc.",100%,HUD 202,  202 ,,,,, D , RH , HUD   ,, NC , All ,8/1/1990,8/1/1990,8/1/1992,8/1/1992,8/1/1992,8/1/1992,8/1/1990,8/1/1990, present ,7/16/2026,HUD 202 Seniors,Occupied*," $ 8,068,400.00 "," $ 8,068,400.00 "," $ 8,770,000.00 "," $ 8,770,000.00 ",8/1/1990,8/1/1990,HUD,HUD/HFA/Richman,,RB Only,012-EH-642,,Richman,3319576,,1925,New Construction,HUD 202,,,HUD 202 + 4% Bonds,,,,1994,2/1/1991,2/1/1991,,,,,,,1,1,1,74625,,,0,,,7,1,100,100,100,,,,,0,0,0,1,74,25,32,377191,,,,,,,,,,,"55 Goodwin Place, Brooklyn NY 11221",Supportive Services,,,Supportive Senior Services 202 Buildings ,Goodwin Place Housing for the Elderly
Goodwin-Himrod Parking Lot,Goodwin Himrod,Parking Lot,non-housing,Housing,Operational,Owned,Managed,,,,159 Himrod Street Brooklyn NY 11221,Brooklyn,3,3266,3266,45,3032660045,3032660045,,0,,"Goodwin Himrod Senior HDFC, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000,,1925,New Construction,"HCR, HUD 202",,,,,,,1992,8/1/1992,8/1/1992,,,,3.9,0,3.9,0,0,,0,,4820,,,14,0,0,0,0,0,,,,,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,
Goodwin-Himrod (aka Goodwin Place for the Elderly),Goodwin Himrod,Parking Lot,non-housing,Housing,Operational,Owned,Managed,,,,55 Goodwin Place Brooklyn NY 11221,Brooklyn,3,3294,3294,42,3032940042,3031510209,,0,0,"Goodwin Himrod Senior HDFC, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000,,,New Construction,,,,,,,,1994,2/1/1991,2/1/1991,,,,3.9,2.78,1.12,0,0,,0,,5800,,,23,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Gotham Point,Gotham Point,Residential,Multi-Family,Housing,Operational,Owned,Not managed,Developed,southp,,"1-20 56th Avenue and 1-15 57th Avenue Long Island City, Queens, NY, 11101",Queens,4,6,6,30,4000060080,4000060080,"4541370, 4619856",1132,1132,South Point HDFC,10%,Senior, 4% LIHTC  ,,,,, D/JV , RH , HPD/HDC ,, NC  , N/A ,12/1/2019,12/1/2019,12/1/2021,12/1/2021,4/19/2024,4/19/2024,N/A,, N/A ,,"Multifamily & Seniors: Extremely-Low to Low Income, Homeless Set-Aside",Vacant," $ 456,420,522.00 "," $ 456,420,522.00 "," $ 574,081,571.00 "," $ 574,081,571.00 ",N/A,,Wells Fargo,HPD/HDC,,"Gotham (GO HPS Venture, LLC )",,,Wells Fargo (direct investor),4541370,,,New Construction,,,,HPD 4% LIHTC,,,,,,,,,,,,,2,0,2,,,,0,,,,2,1132,1132,0,92,0,,,1,0,66,277,499,290,,,,,,,,,,,,,"1-10 56th Ave, Long Island City, NY 11101",Supportive Services,,,Gotham Point- Senior Tower,
Faith Forward Church,Harry T. Nance Apartments,Church,non-housing,Housing,Construction,Not owned,Not managed,,,,1860 Eastern Parkway - church,Brooklyn,3,1436,1436,1003,3014360006,3014360006,3337899,0,,True Holy Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,1860 Eastern Parkway,True Holy Church,True Holy Church dba Faith Forward Church,3rd Party,100%,community,Church,,,,,,,,
Dentist's Office,Harry T. Nance Apartments,Commercial,non-housing,Housing,Construction,Not owned,Not managed,,,,1860 Eastern Parkway - office,Brooklyn,3,1436,1436,1002,3014360006,3014360006,3337899,0,,True Holy Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,1860 Eastern Parkway,True Holy Church,Dentist's Office TBD,3rd Party,100%,community,Medical - Dentist,,,,,,,,
Harry T. Nance Apartments,Harry T. Nance Apartments,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,atleast,,1860 Eastern Parkway Brooklyn NY 11233,Brooklyn,3,1436,1436,1001,3014360006,3014360006,3337899,67,67,Harry T. Nance Apartments HDFC,100%,NYSSHP, 9% LIHTC ,,,,, D ," RH, CF "," HPD, HCR ",, NC , All ,4/27/2018,4/27/2018,8/19/2021,8/19/2021,6/12/2023,6/12/2023,5/1/2018,5/1/2018, present ,7/16/2026,"Multi-Family: Extremely-Low to Low Income, Veterans Set-Aside",Vacant," $ 25,098,533.00 "," $ 25,098,533.00 "," $ 37,971,158.00 "," $ 37,971,158.00 ",5/1/2018,5/1/2018,Chase,HPD + HCR/HTF,,RB Only,,,Hudson,3337899,,20166031,New Construction,HPD ELLA,,,HCR 9% LIHTC,,,,2021,4/27/2018,4/27/2018,,,1.32,4.8,1.32,,1,1,1,61300,,8000,0,,0,10,1,67,67,67,,,,,1,0,9,16,25,17,,,,,,,,,,,,,,,,,,
Haven Green - Habitat,Haven Green,Pre-Dev Site,non-housing,Housing,Predevelopment,Not owned,Not managed,,,,199 Elizabeth Street - Habitat,Manhattan,1,493,493,30,1004930030,1004930030,,0,,HPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,199 Elizabeth Street,Haven Green,Habitat For Humanity NYC,3rd Party,TBD,community,social services,,,,,,,,
Haven Green - retail TBD,Haven Green,Pre-Dev Site,non-housing,Housing,Predevelopment,Not owned,Not managed,,,,199 Elizabeth Street - retail,Manhattan,1,493,493,30,1004930030,1004930030,,0,,HPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,199 Elizabeth Street,Haven Green,TBD,3rd Party,TBD,Retail,TBD,,,,,,,,
Rocky Mountain Baptist Church,Hillside,Church,non-housing,Housing,Operational,Owned,Not managed,,,,"37 Hillside Ave, New York NY 10040",Manhattan,1,2170,2170,118,1021700118,1021700118,,0,,Rocky Mountain Baptist Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,1,37 Hillside,Hillside HDFC,Rocky Mountain Baptist Church,3rd Party,51%,community,Church,,,,,,,,
37 Hillside Apartments,Hillside 1,Residential,Senior,Housing,Operational,Owned,Managed,Developed,hillsid,,"37 Hillside Ave, New York NY 10040",Manhattan,1,2170,2170,118,1021700118,1021700118,TBD,164,164,37 Hillside Owners HDFC,49%,HRA Senior, 4% LIHTC  ,,,,, D/JV , RH , HPD/HDC ," HPD SARA, Sarah Leitson ", NC  , N/A ,8/1/2020,8/1/2020,12/13/2023,12/13/2023,1/15/2025,1/15/2025,8/1/2020,8/1/2020, present ,7/16/2026,Low Income Seniors,Vacant," $ 69,125,550.00 "," $ 69,125,550.00 "," $ 116,900,333.00 "," $ 116,900,333.00 ",N/A,,Chase,TBD ,,Coconut Properties,,,CREA,,,,New Construction,HPD SARA,,,HDC 4% LIHTC,,,,2022,,,,,,,,,1,1,1,,,20375,0,,,,1,164,164,164,0,0,,,1,0,0,1,44,119,,,,,,,,,,,,,"37 Hillside Ave New York, NY 10040",Supportive Services,,,Hillside  Senior Apartments,
Himrod Street Apartments,Himrod Street,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,himrodtc,,165 Himrod Street Brooklyn NY 11237,Brooklyn,3,3266,3266,40,3032660040,3032660040,3393889,33,33,Himrod Street Associates L.P.,100%,, 4% Expired ,,,,, D , RH , HCR ,, NC , All ,10/31/2006,10/31/2006,1/1/2008,1/1/2008,1/1/2008,1/1/2008,10/31/2006,10/31/2006, present ,7/16/2026,Multi-Family: Extremely-Low to Low Income,Vacant," $ 6,720,000.00 "," $ 6,720,000.00 "," $ 8,817,332.00 "," $ 8,817,332.00 ",10/31/2006,10/31/2006,Chase,Chase/Enterprise,,RB Only,,,Enterprise,3393889,,20040432,New Construction,HCR,,,Expired,,,,2008,1/1/2008,1/1/2008,,,,3.9,3.47,0.43,1,1,1,42752,,,0,,,6,1,33,33,33,,,,,0,0,5,17,11,0,15,381109,,,,,,,,,,,,,,,,
Himrod Street Parking Lot,Himrod Street,Parking Lot,non-housing,Housing,Operational,Owned,Managed,,,,165 Himrod Street Brooklyn NY 11237,,,3266,,1,3032660001,3032660001,,0,0,Himrod Street Associates L.P.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville Homebase,Homebase,RB Service Site,non-housing,Empowerment,Operational,Not owned,Not managed,,,,145 E 98th St,,,,,,,3035480001,3393311,0,,Brownsville Homebase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,145 E 98th St,Empowerment,,,Brownsville Homebase,
Irving Stockholm - Playground,Irving Stockholm,Playground,non-housing,Housing,Non-Operational,Owned,Managed,,irvstock,,301-303 Jefferson Street Brooklyn NY 11237,Brooklyn,3,3166,3166,49,3031660049,3031660049,3819559,0,66,Irving Stockholm HDFC,100%,, Expired ,,,,, D , RH , HPD ,, SR , All ,8/1/1990,8/1/1990,2/1/1990,2/1/1990,2/1/1990,2/1/1990,1/1/1989,1/1/1989, present ,7/16/2026,Multi-Family: Extremely-Low to Low Income,Occupied**," $ 1,724,700.00 "," $ 3,945,000.00 "," $ 2,078,000.00 "," $ 4,753,000.00 ",1/1/1989,1/1/1989,HPD,HPD  ,,RB Only,,,N/A,3819559,,,Preservation Rehab,,,,Expired,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Irving Stockholm,Irving Stockholm,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,irvstock,,299 Jefferson Street Brooklyn 11237,Brooklyn,3,3166,3166,50,3031660050,3031660050,3072150,6,66,Irving Stockholm HDFC,100%,, Expired ,,,,, D , RH , HPD ,, SR , All ,8/1/1990,8/1/1990,9/1/1991,9/1/1991,9/1/1991,9/1/1991,8/1/1990,8/1/1990, present ,7/16/2026,Multi-Family: Extremely-Low to Low Income,Occupied**," $ 3,945,000.00 "," $ 3,945,000.00 "," $ 4,753,000.00 "," $ 4,753,000.00 ",8/1/1990,8/1/1990,HPD,HPD  ,,RB Only,,,N/A,3072150,,,Preservation Rehab,,,,Expired,,,,1991,9/1/1991,9/1/1991,,,,,,,1,1,1,6000,,,0,,,4,,6,6,6,,,,,0,0,0,4,2,0,36,333820,,,,,,,,,,,,,,,,
Irving Stockholm,Irving Stockholm,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,irvstock,,304 Jefferson Street Brooklyn 11237,Brooklyn,3,3175,3175,18,3031750018,3031750018,3072353,6,66,Irving Stockholm HDFC,100%,, Expired ,,,,, D , RH , HPD ,, SR , All ,8/1/1990,8/1/1990,9/1/1991,9/1/1991,9/1/1991,9/1/1991,8/1/1990,8/1/1990, present ,7/16/2026,Multi-Family: Extremely-Low to Low Income,Occupied**," $ 3,945,000.00 "," $ 3,945,000.00 "," $ 4,753,000.00 "," $ 4,753,000.00 ",8/1/1990,8/1/1990,HPD,HPD  ,,RB Only,,,N/A,3072353,,,Preservation Rehab,,,,Expired,,,,1991,9/1/1991,9/1/1991,,,,,,,1,1,1,6000,,,0,,,4,,6,6,6,,,,,0,0,0,4,2,0,36,335474,,,,,,,,,,,,,,,,
Irving Stockholm,Irving Stockholm,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,irvstock,,22 Irving Avenue Brooklyn 11237,Brooklyn,3,3166,3166,36,3031660036,3031660036,3072140,8,66,Irving Stockholm HDFC,100%,, Expired ,,,,, D , RH , HPD ,, SR , All ,8/1/1990,8/1/1990,2/1/1990,2/1/1990,2/1/1990,2/1/1990,1/1/1989,1/1/1989, present ,7/16/2026,Multi-Family: Extremely-Low to Low Income,Occupied**," $ 1,724,700.00 "," $ 3,945,000.00 "," $ 2,078,000.00 "," $ 4,753,000.00 ",1/1/1989,1/1/1989,HPD,HPD  ,,RB Only,,,N/A,3072140,,,Preservation Rehab,,,,Expired,,,,1990,2/1/1990,2/1/1990,,,,,,,1,1,1,6000,,,0,,,4,,8,8,8,,,,,0,0,3,5,0,0,36,356819,,,,,,,,,,,,,,,,
Irving Stockholm,Irving Stockholm,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,irvstock,,244 Stockholm Street  Brooklyn 11237       ,Brooklyn,3,3258,3258,22,3032580022,3032580022,3074189,7,66,Irving Stockholm HDFC,100%,, Expired ,,,,, D , RH , HPD ,, SR , All ,8/1/1990,8/1/1990,2/1/1990,2/1/1990,2/1/1990,2/1/1990,1/1/1989,1/1/1989, present ,7/16/2026,Multi-Family: Extremely-Low to Low Income,Occupied**," $ 1,724,700.00 "," $ 3,945,000.00 "," $ 2,078,000.00 "," $ 4,753,000.00 ",1/1/1989,1/1/1989,HPD,HPD  ,,RB Only,,,N/A,3074189,,,Preservation Rehab,,,,Expired,,,,1991,2/1/1990,2/1/1990,,,,,,,1,1,1,9978,,,0,,,4,,7,7,7,,,,,0,0,1,3,3,0,36,314455,,,,,,,,,,,,,,,,
Irving Stockholm,Irving Stockholm,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,irvstock,,246 Stockhom Street  Brooklyn 11237,Brooklyn,3,3258,3258,23,3032580023,3032580023,3074190,7,66,Irving Stockholm HDFC,100%,, Expired ,,,,, D , RH , HPD ,, SR , All ,8/1/1990,8/1/1990,2/1/1990,2/1/1990,2/1/1990,2/1/1990,1/1/1989,1/1/1989, present ,7/16/2026,Multi-Family: Extremely-Low to Low Income,Occupied**," $ 1,724,700.00 "," $ 3,945,000.00 "," $ 2,078,000.00 "," $ 4,753,000.00 ",1/1/1989,1/1/1989,HPD,HPD  ,,RB Only,,,N/A,3074190,,,Preservation Rehab,,,,Expired,,,,1991,2/1/1990,2/1/1990,,,,,,,1,1,1,9976,,,0,,,4,,7,7,7,,,,,0,0,1,2,4,0,36,344723,,,,,,,,,,,,,,,,
Irving Stockholm,Irving Stockholm,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,irvstock,,273 Linden Street   Brooklyn 11237,Brooklyn,3,3326,3326,57,3033260057,3033260057,3076161,5,66,Irving Stockholm HDFC,100%,, Expired ,,,,, D , RH , HPD ,, SR , All ,8/1/1990,8/1/1990,2/1/1990,2/1/1990,2/1/1990,2/1/1990,1/1/1989,1/1/1989, present ,7/16/2026,Multi-Family: Extremely-Low to Low Income,Occupied**," $ 1,724,700.00 "," $ 3,945,000.00 "," $ 2,078,000.00 "," $ 4,753,000.00 ",1/1/1989,1/1/1989,HPD,HPD  ,,RB Only,,,N/A,3076161,,,Preservation Rehab,,,,Expired,,,,1991,9/1/1991,9/1/1991,,,,,,,1,1,1,4347,,,0,,,3,,5,5,5,,,,,0,0,0,2,3,0,36,330241,,,,,,,,,,,,,,,,
Irving Stockholm,Irving Stockholm,Residential,Multi-Family,Housing,Operational,Owned,Managed,Developed,irvstock,,302 Jefferson Street Brooklyn 11237,Brooklyn,3,3175,3175,17,3031750017,3031750017,3072352,6,66,Irving Stockholm HDFC,100%,, Expired ,,,,, D , RH , HPD ,, SR , All ,8/1/1990,8/1/1990,2/1/1990,2/1/1990,2/1/1990,2/1/1990,1/1/1989,1/1/1989, present ,7/16/2026,Multi-Family: Extremely-Low to Low Income,Occupied**," $ 1,724,700.00 "," $ 3,945,000.00 "," $ 2,078,000.00 "," $ 4,753,000.00 ",1/1/1989,1/1/1989,HPD,HPD  ,,RB Only,,,N/A,3072352,,,Preservation Rehab,,,,Expired,,,,1991,9/1/1991,9/1/1991,,,,,,,1,1,1,6000,,,0,,,4,,6,6,6,,,,,0,0,0,4,2,0,36,329874,,,,,,,,,,,,,,,,
