Property,Unit,Unit Type,Date Available,Bedrooms,Rent
326rock,201,326RHPS2,,2,"1,918.00"
326rock,425,326RHPS1,,1,"1,663.00"
326rock,409,326RHPS2,,2,"1,918.00"
gdwnpl2,3L,gdwn1b,,1,"2,004.00"
326rock,701,326RHPS2,,2,"1,918.00"
326rock,1101,326RHPS2,,2,"1,918.00"
326rock,418,326RHPS1,,1,"1,663.00"
326rock,507,326RHPS2,,2,"1,918.00"
bethany,214,BethStud,,0,"3,054.00"
326rock,207,326RHPS2,,2,"1,918.00"
326rock,225,326RHPS1,,1,"1,663.00"
bethany,311,BethStud,,0,"3,054.00"
bethany,220,BethStud,,0,"3,054.00"
bethany,212,BethStud,1/7/2026,0,"3,054.00"
bethany,307,Beth1BR,,1,"3,112.00"
326rock,807,326RHPS2,,2,"1,918.00"
326rock,417,326RHPS1,,1,"1,663.00"
326rock,211,326RHPS2,,2,"1,918.00"
326rock,423,326RHPS1,,1,"1,663.00"
326rock,1103,326RHPS3,,3,"2,623.00"
326rock,803,326RHPS3,,3,"2,623.00"
326rock,1007,326R2@60,,2,"1,992.00"
gtsplaza,3M,gtspla1b,,1,814.00
326rock,603,326R3@50,,3,"1,897.00"
326rock,326,326R1@60,,1,"1,660.00"
135mena,135-03,3bed60%,,3,"2,264.00"
135mena,135-2L,2b60,,2,"1,969.00"
135mena,135-1R,1bed60%,,1,"1,651.00"
326rock,429,326R1@60,,1,"1,660.00"
gdwnpl2,5Q,gdwn1b,,1,"2,004.00"
gtsplaza,5K,gtspla1b,,1,814.00
gtsgrd2,2A,gtsg1b,,1,961.00
sumner,2A,SHSUPER,1/22/2026,2,0.00
atleast,504,N3b30PBV,,3,"3,400.00"
stamm,26-2A,st1b50,,1,851.01
bethany,301,BethStud,,0,"3,054.00"
bethany,315,BethStud,,0,"3,054.00"
bethany,112,BethStud,,0,"3,054.00"
bethany,208,Beth1BR,,1,"3,112.00"
326rock,1203,326R3@50,,3,"1,897.00"
326rock,228,326R1@50,,1,"1,368.00"
gdwnpl2,7Q,gdwn1b,,1,"2,004.00"
bethany,114,BethStud,,0,"3,054.00"
gtsgrd2,3F,gtsg1b,,1,961.00
bethany,106,BethStud,,0,"3,054.00"
326rock,1403,326R3@60,,3,"2,301.00"
326rock,420,326R1@50,,1,"1,368.00"
326rock,612,326RHPS0,,0,"1,584.00"
326rock,301,326RHPS2,,2,"1,918.00"
326rock,411,326RHPS2,,2,"1,918.00"
326rock,601,326RHPS2,,2,"1,918.00"
326rock,511,326R2@60,,2,"1,992.00"
326rock,509,326R2@50,,2,"1,642.00"
326rock,220,326R1@50,,1,"1,368.00"
326rock,1406,326R2@50,,2,"1,642.00"
lindenct,5D,lin2b50,,2,893.37
326rock,1402,326R1@60,,1,"1,660.00"
326rock,302,326R1@50,,1,"1,368.00"
326rock,223,326RHPS1,,1,"1,663.00"
grovegar,299-3L,gg2b60,,2,957.61
gtsplaza,2L,gtspla1b,,1,814.00
bethany,111,Beth1BR,,1,"3,112.00"
bethany,204,BethStud,,0,"3,054.00"
bethany,216,BethStud,,0,"3,054.00"
bethany,314,BethStud,,0,"3,054.00"
bethany,201,BethStud,,0,"3,054.00"
326rock,1107,326RHPS0,,0,"1,584.00"
326rock,333,326RHPS0,,0,"1,584.00"
326rock,431,326RHPS0,,0,"1,584.00"
326rock,110,326RHPS2,,1,"2,104.00"
326rock,309,326RHPS2,,2,"1,918.00"
326rock,209,326RHPS2,,2,"1,918.00"
326rock,324,326RHPS1,,1,"1,663.00"
326rock,116,326RHPS0,,0,"1,584.00"
326rock,217,326RHPS1,,1,"1,663.00"
326rock,307,326RHPS2,,2,"1,918.00"
326rock,1307,326RHPS0,,0,"1,584.00"
326rock,430,326RHPS0,,0,"1,584.00"
326rock,408,326RHPS0,,0,"1,584.00"
326rock,708,326RHPS0,,0,"1,584.00"
326rock,610,326RHPS0,,0,"1,584.00"
326rock,712,326RHPS0,5/22/2026,0,"1,584.00"
326rock,235,326RHPS0,,0,"1,584.00"
326rock,105,326RHPS1,,1,"1,663.00"
326rock,111,326RHPS2,,2,"1,918.00"
326rock,330,326RHPS0,,0,"1,584.00"
326rock,104,326RHPS0,,0,"1,584.00"
326rock,115,326RHPS0,,0,"1,584.00"
326rock,234,326RHPS0,,0,"1,584.00"
bethany,305,BethStud,,0,"3,054.00"
grovegar,316-2L,gg2b60,,2,"1,165.46"
326rock,204,326RHPS0,,0,"1,584.00"
326rock,510,326RHPS0,,0,"1,584.00"
326rock,229,326R1@60,,1,"1,660.00"
326rock,117,326RHPS0,,0,"1,584.00"
326rock,331,326RHPS0,,0,"1,584.00"
326rock,335,326RHPS0,4/14/2026,0,"1,584.00"
326rock,419,326RHPS0,,0,"1,584.00"
326rock,106,326R1@50,,1,"1,368.00"
326rock,332,326RHPS0,,0,"1,584.00"
326rock,508,326RHPS0,,0,"1,584.00"
326rock,108,326RHPS0,,0,"1,584.00"
326rock,233,326RHPS0,,0,"1,584.00"
326rock,101,326RHPS0,,0,"1,584.00"
326rock,424,326RHPS1,,1,"1,663.00"
326rock,316,326RHPS0,,0,"1,584.00"
326rock,422,326RHPS0,,0,"1,584.00"
326rock,607,326R2@50,,2,"1,642.00"
326rock,311,326RHPS2,,2,"1,918.00"
326rock,336,326RHPS0,,0,"1,584.00"
326rock,303,326RHPS0,,0,"1,584.00"
troutev2,4N,trev1bed,,1,"1,005.00"
326rock,319,326RHPS0,,0,"1,584.00"
326rock,109,326RHPS0,,0,"1,584.00"
326rock,1012,326RHPS0,,0,"1,584.00"
326rock,1108,326R1@60,,1,"1,660.00"
hillsid,5N,HL0B50,,0,"2,759.90"
326rock,114,326RHPS1,,1,"1,663.00"
326rock,318,326RHPS1,,1,"1,663.00"
326rock,230,326RHPS0,,0,"1,584.00"
326rock,405,326RHPS0,,0,"1,584.00"
bethany,105,BethStud,,0,"3,054.00"
326rock,1309,326R1@50,,1,"1,368.00"
326rock,606,326R1@50,,1,"1,368.00"
326rock,215,326RHPS0,,0,"1,584.00"
bethany,211,BethStud,,0,"3,054.00"
326rock,812,326RHPS0,,0,"1,584.00"
atleast,205,N1b30PBV,,1,"1,705.00"
alliance,63-4C,BA0@80%,,0,"1,721.00"
