PROJECT_NAME,ADDRESS,Construction Completion Date_2,YEARBUILT_properties,Most recent rehab
West Bushwick NRP,57 Irving Avenue Brooklyn NY 11237,12/9/2008,2006,2006
857 Hart Street,857 Hart Street Brooklyn NY 11237,3/26/2008,2006,2006
Renaissance Estates,10 Forrest Street Brooklyn NY 11206,3/1/2006,2006,2006
Gates Gardens,1349 Gates Avenue Brooklyn NY 11221,1/1/2012,2005,2005
West Bushwick TPT,1269 Decatur Street Brooklyn NY 11207,3/7/2008,2005,2005
West Bushwick TPT,1274 Decatur Street Brooklyn NY 11207,3/7/2008,2005,2005
West Bushwick TPT,233 Himrod Street Brooklyn NY 11237,3/7/2008,2005,2005
West Bushwick TPT,285 Linden Street Brooklyn NY 11237,3/7/2008,2005,2005
West Bushwick TPT,835 Hart Street Brooklyn NY 11237,3/7/2008,2005,2005
West Bushwick TPT,869 Hart Street Brooklyn NY 11237,3/7/2008,2005,2005
Rheingold Gardens,533 Bushwick Avenue Brooklyn NY 11206,4/1/2005,2005,2005
Rheingold Gardens,555 Bushwick Avenue Brooklyn NY 11206,4/1/2005,2005,2005
Noll Street,43 Central Avenue Brooklyn 11206,12/1/2003,2003,2003
Troutman Evergreen,78 Troutman Street Brooklyn 11206,2/1/2002,2002,2002
Linden Court,150 Linden Street Brooklyn NY 11221,5/1/2001,1999,1999
420 Stockholm,420 Stockholm Street Brooklyn 11237,7/1/2000,1999,1999
Knickerbocker Square,557 Knickerbocker Avenue Brooklyn NY 11237,5/1/2000,1999,1999
924 Hart Street,924 Hart Street Brooklyn NY 11237,5/4/1993,1998,1998
Plaza de los Ancianos,297 Wilson Avenue Brooklyn NY 11237,3/1/1997,1997,1997
Goodwin Himrod,55 Goodwin Place Brooklyn NY 11221,8/1/1992,1994,1994
Goodwin Himrod,143 Himrod Street Brooklyn NY 11221,8/1/1992,1992,1992
Irving Stockholm,299 Jefferson Street Brooklyn 11237,9/1/1991,1991,1991
Irving Stockholm,304 Jefferson Street Brooklyn 11237,9/1/1991,1991,1991
Irving Stockholm,244 Stockholm Street  Brooklyn 11237       ,2/1/1990,1991,1991
Irving Stockholm,246 Stockhom Street  Brooklyn 11237,2/1/1990,1991,1991
Irving Stockholm,273 Linden Street   Brooklyn 11237,2/1/1990,1991,1991
Irving Stockholm,302 Jefferson Street Brooklyn 11237,2/1/1990,1991,1991
Irving Stockholm,304 Grove Street Brooklyn 11237,2/1/1990,1991,1991
Irving Stockholm,308 Grove Street Brooklyn 11237,2/1/1990,1991,1991
Irving Stockholm,312 Grove Street Brooklyn 11237,2/1/1990,1991,1991
Irving Stockholm,316 Jefferson Street Brooklyn 11237,2/1/1990,1991,1991
Irving Stockholm,22 Irving Avenue Brooklyn 11237,2/1/1990,1990,1990
